ESID,Data Collector Affiliations,Latitude,Longitude,Local Eclipse Type,Eclipse Percent (%),WAV Files Time & Date Settings,Data Collector Start Time Notes,Eclipse Date,Eclipse Start Time (UTC) (1st Contact),Totality Start Time (UTC) (2nd Contact),Eclipse Maximum (UTC),Totality End Time (UTC) (3rd Contact),Eclipse End Time (UTC) (4th Contact),Version,Keywords and subjects,year
441,,33.8163314,-95.6360293,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:26:48,18:44:13,18:46:00,18:47:47,20:05:30,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
442,,32.7375409,-97.3658345,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:22:19,18:40:21,18:41:33,18:42:44,20:01:37,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
443,,33.25035,-97.0949,Partial,99.93,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:23:40,N/A,18:42:47,N/A,20:02:37,2024.0.0,2024 Total Solar Eclipse ,2024
445,,31.3897866,-97.258821,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:19:56,18:37:31,18:39:35,18:41:39,20:00:13,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
446,,29.395568,-98.06516,Partial,99.3,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:15:00,N/A,18:34:54,N/A,19:56:18,2024.0.0,2024 Total Solar Eclipse ,2024
447,,30.555,-100.595,Partial,99.35,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:13:39,N/A,18:32:41,N/A,19:53:38,2024.0.0,2024 Total Solar Eclipse ,2024
448,,30.577333,-97.40484,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:18:12,18:37:03,18:38:00,18:38:58,19:58:58,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
449,,29.63571,-95.66162,Partial,94.44,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:19:12,N/A,18:39:24,N/A,20:00:26,2024.0.0,2024 Total Solar Eclipse ,2024
451,Tye Preston Memorial Library,29.8648113,-98.1906737,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:15:41,18:34:36,18:35:30,18:36:23,19:56:45,2024.1.0,2024 Total Solar Eclipse ,2024
452,,29.7784107,-98.2539232,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:15:26,18:34:29,18:35:15,18:36:00,19:56:31,2024.1.0,2024 Total Solar Eclipse ,2024
455,,33.71871,-96.77973,Partial,99.61,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:24:59,N/A,18:44:00,N/A,20:03:36,2024.0.0,2024 Total Solar Eclipse ,2024
457,,33.11466,-94.3144,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:27:30,18:46:14,18:47:08,18:48:01,20:06:48,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
462,,37.60588,-78.06375,Partial,84.18,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:01:19,N/A,19:18:05,N/A,20:31:06,2024.0.0,2024 Total Solar Eclipse ,2024
465,Columbia Pike Library,38.8849078,-77.1059869,Partial,87.43,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:04:02,N/A,19:20:19,N/A,20:32:45,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
466,,44.5110415,-73.047787,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:04:02,N/A,19:20:19,N/A,20:32:45,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
468,St Bruno Parish School,42.93360547,-88.41675647,Partial,89,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:13:42,N/A,18:32:36,N/A,19:53:27,2024.0.0,2024 Total Solar Eclipse ,2024
469,,38.69497,-79.53286,Partial,90.54,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:51:54,N/A,19:07:22,N/A,20:21:06,2024.0.0,2024 Total Solar Eclipse ,2024
473,,42.77166,-78.64419,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:05:04,19:18:31,19:20:22,19:22:13,20:32:17,2024.1.0,2024 Total Solar Eclipse ,2024
477,,41.0243581,-81.4439091,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:59:06,19:14:23,19:15:36,19:16:48,20:29:03,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
491,,31.5757132,-97.65713,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:19:43,18:37:02,18:39:13,18:41:25,19:59:48,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
496,,44.7458793,-72.9912134,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:14:38,19:26:13,19:27:58,19:29:43,20:37:23,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
501,,33.544351,-95.085369,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:27:06,18:44:20,18:46:30,18:48:40,20:06:05,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
502,George Rogers Clark National Historical Park,38.67891,-87.53814,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:46:52,19:02:45,19:04:48,19:06:50,20:20:51,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site: NPS Collection Site,2024
504,Buffalo National River,36.089254,-92.54893,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:35:18,18:52:19,18:54:05,18:55:51,20:12:14,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site: NPS Collection Site,2024
505,Dayton Aviation Heritage National Historical Park,39.7125,-84.152222,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:53:25,19:09:32,19:10:46,19:11:58,20:25:31,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site: NPS Collection Site,2024
509,James A. Garfield National Historic Site,41.6658722,-81.3504124,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:59:58,19:14:14,19:16:09,19:18:03,20:29:18,2024.1.0,Eclipse: Soundscapes: 2024 Total Solar Eclipse: ,2024
515,Mark Paul Terk Charitable Trust,29.344468,-99.986807,Total,100,Needs to be set manually,3:24:00 PM US Central,2024-04-08,17:12:06,18:29:23,18:31:36,18:33:49,19:53:03,2024.1.0,2024 Total Solar Eclipse,2024
516,Mark Paul Terk Charitable Trust,29.34487,-99.983234,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:12:06,18:29:23,18:31:36,18:33:49,19:53:04,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
517,Mark Paul Terk Charitable Trust,29.345988,-99.97628,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:12:07,18:29:24,18:31:37,18:33:50,19:53:05,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
518,Mark Paul Terk Charitable Trust,29.35396,-99.968933,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:12:08,18:29:25,18:31:38,18:33:52,19:53:06,2024.1.0,2024 Total Solar Eclipse: ,2024
519,ARISA Lab: Hot Springs National Park,34.51015,-93.10025,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:31:47,18:49:14,18:51:06,18:52:58,20:10:02,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site: NPS Collection Site,2024
530,,37.2829,-89.165,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:19,18:58:55,19:00:50,19:02:44,20:17:51,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
656,Sounds of Nature,40.10586,-88.2015,Partial,98.32,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:47:59,0:00:00,19:05:12,0:00:00,20:20:38,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
657,Sounds of Nature,37.48431,-89.089,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:44,18:59:10,19:01:10,19:03:11,20:18:05,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
659,Sounds of Nature,38.44125,-90.1341,Partial,99.61,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:40,0:00:00,19:00:37,0:00:00,20:17:15,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
660,Sounds of Nature,37.62845,-89.0032,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:43:05,18:59:25,19:01:28,19:03:30,20:18:18,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
661,Sounds of Nature,41.36841,-88.202,Partial,94.46,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:49:51,0:00:00,19:06:20,0:00:00,20:21:04,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
664,Sounds of Nature,37.67213,-88.1794,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:44:25,19:01:08,19:02:47,19:04:26,20:19:25,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site,2024
665,Sounds of Nature,39.77373,-87.0203,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:49:12,19:05:22,19:06:37,19:07:51,20:22:02,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
666,Sounds of Nature,37.65459,-89.1693,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:52,18:59:10,19:01:14,19:03:18,20:18:05,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
667,Sounds of Nature,37.57629,-88.9146,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:43:08,18:59:33,19:01:32,19:03:32,20:18:23,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
668,Sounds of Nature,37.62061,-88.6159,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:43:40,19:00:09,19:02:03,19:03:57,20:18:49,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
670,Sounds of Nature,37.61979,-88.8876,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:43:15,18:59:37,19:01:38,19:03:38,20:18:27,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
674,Sounds of Nature,40.35665,-88.9752,Partial,96.27,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:47:16,0:00:00,19:04:18,0:00:00,20:19:43,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
675,Sounds of Nature,37.7226,-89.2305,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:53,18:59:09,19:01:13,19:03:17,20:18:03,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
676,Sounds of Nature,38.1051,-90.0979,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:11,18:59:29,19:00:18,19:01:07,20:17:06,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
677,Sounds of Nature,39.64256,-89.6587,Partial,97.22,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:45:14,0:00:00,19:02:36,0:00:00,20:18:30,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
679,Sounds of Nature,41.78628,-87.9255,Partial,93.6,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:50:50,0:00:00,19:07:06,0:00:00,20:21:32,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
681,Sounds of Nature,37.67215,-89.2631,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:45,18:59:02,19:01:07,19:03:11,20:17:59,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
682,Sounds of Nature,40.55217,-89.6416,Partial,94.47,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:46:40,0:00:00,19:03:31,0:00:00,20:18:54,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
683,Sounds of Nature,39.00586,-87.7389,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:47:02,19:02:59,19:04:49,19:06:39,20:20:45,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
684,Sounds of Nature,37.7246,-89.2454,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:52,18:59:07,19:01:12,19:03:16,20:18:02,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
685,Sounds of Nature,37.83484,-89.3815,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:50,18:59:06,19:01:06,19:03:07,20:17:55,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
686,Sounds of Nature,37.77625,-89.378,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:45,18:59:01,19:01:03,19:03:05,20:17:53,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
688,Sounds of Nature,40.53005,-90.2607,Partial,93.39,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:45:48,0:00:00,19:02:36,0:00:00,20:18:03,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
689,Sounds of Nature,37.52483,-88.8577,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:43:09,18:59:38,19:01:34,19:03:31,20:18:26,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
690,Sounds of Nature,37.63287,-89.2328,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:45,18:59:02,19:01:07,19:03:11,20:18:00,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
691,Sounds of Nature,39.79936,-89.6436,Partial,96.78,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:45:29,0:00:00,19:02:47,0:00:00,20:18:36,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
692,Sounds of Nature,41.888649,-87.787453,Partial,97.64,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:50:58,0:00:00,19:07:44,0:00:00,20:22:30,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
693,Sounds of Nature,37.61196,-89.2399,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:42,18:59:00,19:01:05,19:03:09,20:17:58,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
694,Sounds of Nature,40.63586,-89.5118,Partial,94.44,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:46:58,0:00:00,19:03:47,0:00:00,20:19:06,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
695,Sounds of Nature,38.02764,-89.0128,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:43:41,18:59:52,19:01:53,19:03:54,20:18:32,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
696,Sounds of Nature,40.86539,-90.3474,Partial,92.17,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:46:13,0:00:00,19:02:48,0:00:00,20:18:03,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
698,Sounds of Nature,42.5542,-90.6961,Partial,86.14,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:48:29,0:00:00,19:03:53,0:00:00,20:18:00,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
699,Sounds of Nature,40.72644,-89.5041,Partial,94.17,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:47:07,0:00:00,19:03:53,0:00:00,20:19:09,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
700,Sounds of Nature,37.71174,-89.2772,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:48,18:59:04,19:01:08,19:03:12,20:17:59,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
703,Sounds of Nature,37.71623,-89.2283,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:53,18:59:08,19:01:13,19:03:17,20:18:03,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
704,Sounds of Nature,39.7379,-90.4375,Partial,95.52,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:44:18,0:00:00,19:01:32,0:00:00,20:17:29,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
705,Sounds of Nature,40.69299,-89.7884,Partial,93.75,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:46:41,0:00:00,19:03:27,0:00:00,20:18:45,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
706,Sounds of Nature,37.45517,-89.2612,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:26,18:58:50,19:00:52,19:02:55,20:17:50,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
707,Sounds of Nature,37.70528,-89.3763,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:38,18:58:55,19:00:58,19:03:02,20:17:51,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
710,Sounds of Nature,40.69459,-89.5904,Partial,94.11,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:46:57,0:00:00,19:03:44,0:00:00,20:19:01,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
711,Sounds of Nature,41.91337,-88.3156,Partial,92.51,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:50:31,0:00:00,19:06:39,0:00:00,20:21:03,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
712,Sounds of Nature,38.25294,-88.8548,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:44:15,19:00:25,19:02:22,19:04:18,20:18:53,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
715,Sounds of Nature,37.71448,-88.8388,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:43:28,18:59:46,19:01:49,19:03:50,20:18:34,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
718,Sounds of Nature,40.68258,-89.5438,Partial,94.24,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:47:00,0:00:00,19:03:47,0:00:00,20:19:05,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
719,Sounds of Nature,40.70346,-89.4037,Partial,94.43,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:47:13,0:00:00,19:04:01,0:00:00,20:19:16,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
720,Sounds of Nature,38.1051,-90.0979,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:11,18:59:29,19:00:18,19:01:07,20:17:06,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
724,Sounds of Nature,37.60776,-89.2388,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:42,18:59:00,19:01:04,19:03:09,20:17:58,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
726,Sounds of Nature,38.54339,-89.0925,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:44:21,19:00:57,19:02:18,19:03:40,20:18:43,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
727,Sounds of Nature,40.42623,-90.0291,Partial,94.15,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:45:57,0:00:00,19:02:50,0:00:00,20:18:20,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
728,Sounds of Nature,38.91429,-90.0384,Partial,98.63,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:43:33,0:00:00,19:01:16,0:00:00,20:17:38,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
729,Sounds of Nature,41.44734,-88.7624,Partial,93.22,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:49:13,0:00:00,19:05:37,0:00:00,20:20:21,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
730,Sounds of Nature,40.73498,-89.5552,Partial,94.05,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:47:04,0:00:00,19:03:49,0:00:00,20:19:05,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
732,Sounds of Nature,37.24242,-89.1192,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:19,18:59:01,19:00:51,19:02:42,20:17:53,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
733,Sounds of Nature,37.68828,-89.1277,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:59,18:59:16,19:01:20,19:03:24,20:18:10,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
736,Sounds of Nature,37.71765,-89.2346,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:52,18:59:08,19:01:12,19:03:16,20:18:03,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
738,Sounds of Nature,37.72284,-89.3517,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:42,18:58:58,19:01:02,19:03:05,20:17:53,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
739,Sounds of Nature,37.72528,-89.2167,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:54,18:59:10,19:01:14,19:03:18,20:18:04,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
740,Sounds of Nature,37.75332,-89.0672,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:43:11,18:59:26,19:01:30,19:03:34,20:18:17,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
741,Sounds of Nature,37.71643,-89.3765,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:39,18:58:56,19:00:59,19:03:02,20:17:51,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
747,Sounds of Nature,37.67464,-89.2656,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:45,18:59:02,19:01:06,19:03:11,20:17:58,2024.1.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
748,Sounds of Nature,38.61252,-90.3128,Partial,98.97,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:41,0:00:00,19:00:32,0:00:00,20:17:06,2024.0.0,2024 Total Solar Eclipse: Sounds of Nature Collection Site: ES Data Analysis Site,2024
755,,29.67675,-98.62011,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:14:42,18:33:00,18:34:27,18:35:54,19:55:47,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
756,Samuell Farm,32.783939,-96.585562,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:23:31,18:40:51,18:42:54,18:44:57,20:02:55,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
757,Bracken Cave Preserve,29.68731,-98.35259,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:15:07,18:34:10,18:34:55,18:35:41,19:56:14,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
758,Government Canyon State Park,29.55279,-98.74542,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:14:17,18:32:36,18:34:02,18:35:28,19:55:25,2024.1.0,2024 Total Solar Eclipse: State Park Collection Site: ES Data Analysis Site,2024
759,Sul Ross State University,28.7111,-100.46128,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:10:11,18:27:30,18:29:41,18:31:53,19:51:22,2024.1.0,2024 Total Solar Eclipse: Sul Ross State University Collection Site: ES Data Analysis Site,2024
760,Sul Ross State University,29.38291,-100.92381,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:10:52,18:28:30,18:30:07,18:31:43,19:51:31,2024.1.0,2024 Total Solar Eclipse: Sul Ross State University Collection Site,2024
761,Sul Ross State University,28.85925,-100.52555,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:10:23,18:27:37,18:29:51,18:32:04,19:51:28,2024.1.0,2024 Total Solar Eclipse: Sul Ross State University Collection Site: ES Data Analysis Site,2024
762,Enchanted Ranch,30.386361,-98.860931,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:15:43,18:33:03,18:35:16,18:37:28,19:56:20,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
763,Althaus Ranch,30.19588,-98.83707,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:15:23,18:32:48,18:34:59,18:37:09,19:56:08,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
764,Enchanted Rock State Natural Area,30.493044,-98.832651,Total,100,Needs to be set manually,10:20:00 AM US Central,2024-04-08,17:15:57,18:33:17,18:35:29,18:37:42,19:56:31,2024.1.0,2024 Total Solar Eclipse: State Park Collection Site: ES Data Analysis Site,2024
768,,23.3051,-106.4938,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,16:51:23,18:07:28,18:09:32,18:11:35,19:32:02,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
769,,45.4960044,-70.8933287,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:17:54,19:28:41,19:30:26,19:32:09,20:38:55,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
770,,40.6855659,-82.6175365,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:56:57,19:12:06,19:13:43,19:15:20,20:27:39,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
772,,40.398417,-82.416478,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:56:55,19:13:17,19:13:48,19:14:18,20:27:47,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
779,,40.3737,-82.4061,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:56:54,19:13:37,19:13:47,19:13:57,20:27:47,2024.1.0,2024 Total Solar Eclipse,2024
