ESID,Data Collector Affiliations,Latitude,Longitude,Local Eclipse Type,Eclipse Percent (%),WAV Files Time & Date Settings,Data Collector Start Time Notes,Eclipse Date,Eclipse Start Time (UTC) (1st Contact),Totality Start Time (UTC) (2nd Contact),Eclipse Maximum (UTC),Totality End Time (UTC) (3rd Contact),Eclipse End Time (UTC) (4th Contact),Version,Keywords and subjects,year
275,Bath County Memorial Library,38.14525,-83.768303,Partial,95.75,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:52:05,N/A,19:09:59,N/A,20:25:12,2024.0.0,2024 Total Solar Eclipse ,2024
276,,38.587155,-84.256807,Partial,97.96,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:51:51,N/A,19:09:38,N/A,20:24:52,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
278,,30.032047,-89.9615039,Partial,81.7,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:29:57,N/A,18:49:57,N/A,20:09:12,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
279,,42.69088,-71.0049,Partial,93.75,Needs to be set manually,10:04:00 AM US Eastern,2024-04-08,18:16:15,N/A,19:29:51,N/A,20:39:07,2024.0.0,2024 Total Solar Eclipse,2024
281,,41.828606,-70.794038,Partial,90.22,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:16:09,N/A,19:29:54,N/A,20:39:13,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
282,,42.478016,-73.006385,Partial,95.25,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:13:09,N/A,19:27:23,N/A,20:37:28,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
284,,42.12224,-71.40834,Partial,92.05,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:15:22,N/A,19:29:14,N/A,20:38:45,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
286,,38.6665,-76.63624,Partial,85.91,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:04:40,N/A,19:20:51,N/A,20:33:06,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
288,,29.87778,-99.708056,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:13:32,18:30:49,18:32:59,18:35:10,19:54:15,2024.1.0,2024 Total Solar Eclipse ,2024
289,,37.557033,-90.668792,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:40:29,18:57:25,18:58:49,19:00:12,20:15:58,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
290,,42.22264,-73.72216,Partial,95.18,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:11:55,0:00:00,19:26:25,0:00:00,20:36:50,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
292,,44.46311,-71.68203,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:16:15,19:28:56,19:29:25,19:29:53,20:38:30,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
293,,37.484,-89.353,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:20,18:58:42,19:00:46,19:02:50,20:17:44,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
294,,32.20485,-97.65127,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:20:54,18:38:29,18:40:14,18:42:00,20:00:33,2024.1.0,2024 Total Solar Eclipse ,2024
296,,43.074892,-70.950331,Partial,95.12,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:16:32,N/A,19:30:00,N/A,20:39:10,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
297,,33.078899,-94.850061,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:26:38,18:44:26,18:46:12,18:47:57,20:05:57,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
