reference
"Wheeler, W.M., MacCoy, C.V., Griscom, L., Allen, G.M., & Coolidge, H.J. (1935). Observations on the Behavior of Animals during the Total Solar Eclipse of August 31, 1932."
"Barnes, N. Publish your computer code: it is good enough. Nature 467, 753 (2010). https://doi.org/10.1038/467753a"
"Arslan RC. How to Automatically Document Data With the codebook Package to Facilitate Data Reuse. Advances in Methods and Practices in Psychological Science. 2019;2(2):169-187. doi:10.1177/2515245919838783"
